duplicate_id,name,duplicate,original_id,postal_code,town,
832 630,Association Louis Dunand pour le patrimoine d'Irigny,OUI,67277,69540,Irigny,
840 359,Association Lyon à Lyon et la pompe de Cornouailles,OUI,80536,69300,Caluire-et-Cuire,
846 461,Association PérégrinaLyon,,,69004,Lyon 4ème,
836 980,Association Roch'nature,,,69410,Champagne-au-Mont-d'Or,
842 993,Association Soierie Vivante,OUI,80564,69004,Lyon 4ème,
841 372,Association Vivre Saint Fortunat,,,69370,Saint-Didier-au-Mont-d'Or,
843 156,Atelier  de lutherie Cédric Bon,,,69005,Lyon 5ème,
845 252,Atelier G.Tavernier,OUI,96975,69270,Cailloux-sur-Fontaines,
843 119,Atelier Kolibri,,,69004,Lyon 4ème,
846 422,Auditorium Orchestre National de Lyon,OUI,96426,69003,Lyon 3ème,
846 172,Bahadourian SA,OUI,164431,69003,Lyon 3ème,
846 155,Cariatides,,,69009,Lyon 9ème,
836 106,Caserne des Pompiers d'Ecully,,,69130,Écully,
836 631,Centre Culturel d'Ecully - Mairie d'Ecully,,,69130,Écully,
845 204,Centre de Danse Acquaviva,,,69001,Lyon 1er,
842 781,Centre Hospitalier Saint Joseph Saint Luc,OUI,47254,69007,Lyon 7ème,
842 102,Centre Social Bonnefoi,,,69003,Lyon 3ème,
846 862,Cercle de l'Aviron de Lyon,,,69300,Caluire-et-Cuire,
840 867,Cercle Iulius Victor,,,69800,Saint-Priest,
841 764,Chantal Jane Buisson,,,69100,Villeurbanne,
846 047,Charly Patrimoine,,,69390,Charly,
844 267,Château d'Albigny sur Saone,,,69250,Albigny-sur-Saône,
842 871,Chevreul Lestonnac,,,69007,Lyon 7ème,
842 977,Chocolaterie Guillaume Daix,OUI,42425,69005,Lyon 5ème,
843 446,Collectif Space Opéra,,,69100,Villeurbanne,
835 065,Collections de Géologie de l'Université Lyon 1,,,69100,Villeurbanne,
841 273,Collège la Tourette,,,69001,Lyon 1er,
845 002,Communauté Hellenique de Lyon et des environs,,,69007,Lyon 7ème,
843 541,Commune de Saint-Cyr-au-Mont-d'or,OUI,72928,69450,Saint-Cyr-au-Mont-d'Or,
837 384,Conseil de quartier Dauphiné Sans Souci,,,69003,Lyon 3ème,
836 669,Conseil de quartier Ferrandière Maisons Neuves,,,69100,Villeurbanne,
